user_id,current_ranking,first_name,surname,gender,date_of_birth,email,phone,postcode,country,last_log_on_date,last_log_on_time,joined_on,account_credit,address
WDN39EVL5SB,13,Steven,Barron,Male,29/10/1980,interdum.curabitur@outlook.edu,1-612-431-7665,18657,India,29/07/2023,14:45,23/10/2019,$184.01,813-7242 Euismod Road
YIW03KKK0PU,71,Lars,Montgomery,Male,22/02/2000,enim.commodo@outlook.couk,(834) 423-8270,6873 OL,Netherlands,24/10/2023,21:46,13/11/2017,$119.85,"Ap #859-6372 Non, St."
ZJA89OXS3LK,145,Jade,Wilkerson,Female,07/08/1999,nisi@protonmail.net,(662) 221-5794,723469,Ireland,02/04/2023,02:31,24/02/2019,$87.30,7165 Vivamus Ave
HET77NND5SO,127,Amos,Fitzgerald,Female,29/12/2003,urna.suscipit@outlook.couk,(687) 234-0414,871096,Indonesia,30/01/2023,15:10,23/03/2020,$37.57,184-7298 Tempor Ave
DVG36ZIR6UB,28,Myra,Knowles,Other,18/02/1977,laoreet.ipsum.curabitur@hotmail.edu,(494) 775-6436,05641-84560,Singapore,08/02/2023,11:15,05/05/2017,$115.15,Ap #438-2970 Commodo Rd.
BQY18CXG0GG,51,Yasir,Branch,Other,14/05/1992,mi.fringilla@google.edu,(407) 702-1823,15021,Canada,21/04/2023,10:23,17/07/2017,$98.81,7640 Metus. St.
WUB86VRJ1FM,73,Tanya,Cochran,Male,04/05/1984,primis.in.faucibus@aol.net,1-728-580-3584,82828-882,Spain,11/08/2023,22:44,12/09/2020,$134.37,"P.O. Box 926, 2198 Vitae, Ave"
RDO22XXU7JI,13,Nina,Keller,Male,02/05/1990,ut.tincidunt.orci@outlook.com,(216) 246-6478,26135,South Africa,12/01/2023,12:48,13/09/2017,$148.26,107-9117 Ridiculus Avenue
HHE21VMK3NK,15,Azalia,Malone,Female,02/09/1976,in.nec@hotmail.com,(813) 869-7424,4185,France,11/08/2023,22:33,07/09/2019,$101.35,6180 Morbi Road
YBA30PFH1ZH,116,Astra,Maddox,Female,05/06/1993,bibendum.fermentum@aol.edu,(214) 158-1506,14643-24171,Colombia,11/01/2023,10:49,01/04/2018,$34.52,Ap #261-8815 Fusce Rd.
